Carlos Miller: 123-456-7890
0,0,Samuel James,
0,0,Timothy Green,
0,0,Sean Martinez,
1,0,Larry Parker,
1,1,William Bryant,
1,0,Peter Rivera,
1,0,Steven Patterson,
2,0,Jimmy Roberts,
2,0,Henry Harris,
2,1,Martin Rodriguez,3/6/
2,0,Aaron Bell,
3,0,Robert Taylor,13/
3,0,Walter Brown,
3,0,Richard Miller,
4,1,Steven Wilson,
4,0,Jerry Peterson,
4,0,Richard Kelly,3/6/31/
4,0,Bobby Bailey,
12,0,George Rogers,
12,0,Daniel Washington,
12,1,Johnny Smith,
12,0,Brian Price,3/6/20/
12,1,Jeremy Evans,
12,0,Johnny Long,
23,0,Harry Gonzalez,13/
23,0,Chris Evans,
23,0,Richard Bryant,
23,0,Billy Williams,
34,0,Albert Butler,
34,0,Gerald Coleman,
34,1,Carl Mitchell,
123,0,Howard Morris,
123,0,Jose Perry,
123,0,Jesse Gonzales,
123,0,Randy Wilson,3/6/
234,0,Carl Ramirez,
234,0,Keith Ross,
234,0,Steve Johnson,
1234,0,Steve Martinez,
1234,0,Kenneth Martin,
1234,0,Justin Wood,
1234,0,James Watson,
1234,1,John Henderson,
1234,0,Craig Davis,
1234,0,Keith Hill,
