Aaron Bell is assigned for Sunday Morning on 1/10/2016 and Sunday Morning on 1/31/2016 (21 days apart)
Albert Butler is assigned for Wednesday Night on 1/6/2016 and Wednesday Night on 1/27/2016 (21 days apart)
Billy Williams is assigned for Sunday Morning on 1/3/2016 and Sunday Morning on 1/24/2016 (21 days apart)
Bobby Bailey is assigned for Wednesday Night on 1/20/2016 and empty on 0/0/0 (0 days apart)
Brian Price is assigned for Sunday School on 1/24/2016 and empty on 0/0/0 (0 days apart)
Carl Mitchell is assigned for Wednesday Night on 1/20/2016 and skip on 1/1/1 (0 days apart)
Carl Ramirez is assigned for Sunday Morning on 1/17/2016 and empty on 0/0/0 (0 days apart)
Chris Evans is assigned for Sunday Morning on 1/17/2016 and empty on 0/0/0 (0 days apart)
Craig Davis is assigned for Sunday Night on 1/3/2016 and Sunday Morning on 1/24/2016 (21 days apart)
Daniel Washington is assigned for Sunday School on 1/3/2016 and Sunday School on 1/31/2016 (28 days apart)
George Rogers is assigned for Sunday School on 1/17/2016 and empty on 0/0/0 (0 days apart)
Gerald Coleman is assigned for Sunday Night on 1/10/2016 and empty on 0/0/0 (0 days apart)
Harry Gonzalez is assigned for Sunday Night on 1/10/2016 and Sunday Morning on 1/31/2016 (21 days apart)
Henry Harris is assigned for Sunday Morning on 1/10/2016 and empty on 0/0/0 (0 days apart)
Howard Morris is assigned for Sunday School on 1/10/2016 and Sunday School on 1/31/2016 (21 days apart)
James Watson is assigned for Sunday Morning on 1/3/2016 and Wednesday Night on 1/27/2016 (24 days apart)
Jeremy Evans is assigned for Sunday School on 1/17/2016 and skip on 1/1/1 (0 days apart)
Jerry Peterson is assigned for Wednesday Night on 1/13/2016 and empty on 0/0/0 (0 days apart)
Jesse Gonzales is assigned for Sunday Morning on 1/17/2016 and empty on 0/0/0 (0 days apart)
Jimmy Roberts is assigned for Sunday Morning on 1/10/2016 and empty on 0/0/0 (0 days apart)
John Henderson is assigned for Sunday School on 1/3/2016 and skip on 1/1/1 (0 days apart)
Johnny Long is assigned for Sunday Morning on 1/3/2016 and Sunday Morning on 1/31/2016 (28 days apart)
Johnny Smith is assigned for Sunday School on 1/3/2016 and skip on 1/1/1 (0 days apart)
Jose Perry is assigned for Sunday School on 1/10/2016 and Sunday Night on 1/31/2016 (21 days apart)
Justin Wood is assigned for Wednesday Night on 1/13/2016 and empty on 0/0/0 (0 days apart)
Keith Hill is assigned for Wednesday Night on 1/20/2016 and empty on 0/0/0 (0 days apart)
Keith Ross is assigned for Sunday Night on 1/3/2016 and Sunday Night on 1/24/2016 (21 days apart)
Kenneth Martin is assigned for Sunday Night on 1/3/2016 and Sunday Night on 1/24/2016 (21 days apart)
Larry Parker is assigned for Sunday School on 1/31/2016 and empty on 0/0/0 (0 days apart)
Martin Rodriguez is assigned for Sunday Morning on 1/24/2016 and skip on 1/1/1 (0 days apart)
Peter Rivera is assigned for Sunday School on 1/17/2016 and empty on 0/0/0 (0 days apart)
Randy Wilson is assigned for Sunday School on 1/10/2016 and Sunday Night on 1/31/2016 (21 days apart)
Richard Bryant is assigned for Sunday Night on 1/10/2016 and Sunday Night on 1/31/2016 (21 days apart)
Richard Kelly is assigned for Wednesday Night on 1/13/2016 and empty on 0/0/0 (0 days apart)
Richard Miller is assigned for Sunday Night on 1/24/2016 and empty on 0/0/0 (0 days apart)
Robert Taylor is assigned for Sunday Night on 1/17/2016 and empty on 0/0/0 (0 days apart)
Samuel James is assigned for empty on 0/0/0 and empty on 0/0/0 (0 days apart)
Sean Martinez is assigned for empty on 0/0/0 and empty on 0/0/0 (0 days apart)
Steve Johnson is assigned for Sunday Night on 1/17/2016 and empty on 0/0/0 (0 days apart)
Steve Martinez is assigned for Wednesday Night on 1/6/2016 and Wednesday Night on 1/27/2016 (21 days apart)
Steven Patterson is assigned for Sunday School on 1/24/2016 and empty on 0/0/0 (0 days apart)
Steven Wilson is assigned for Wednesday Night on 1/6/2016 and skip on 1/1/1 (0 days apart)
Timothy Green is assigned for empty on 0/0/0 and empty on 0/0/0 (0 days apart)
Walter Brown is assigned for Sunday Night on 1/17/2016 and empty on 0/0/0 (0 days apart)
William Bryant is assigned for Sunday School on 1/24/2016 and skip on 1/1/1 (0 days apart)
