Carlos Miller: 123-456-7890
0,0,Samuel James,
0,0,Timothy Green,
0,0,Sean Martinez,
1,0,Larry Parker,
1,1,William Bryant,
1,0,Peter Rivera,
1,0,Steven Patterson,
1,0,Jimmy Roberts,
1,0,Henry Harris,
1,0,Martin Rodriguez,
2,0,Aaron Bell,
2,0,Robert Taylor,14/
2,0,Walter Brown,
3,0,Richard Miller,
3,1,Steven Wilson,
4,0,Jerry Peterson,
4,0,Richard Kelly,3/
4,0,Bobby Bailey,
4,0,George Rogers,
4,0,Daniel Washington,
4,0,Johnny Smith,
12,0,Brian Price,28/
12,1,Jeremy Evans,
12,0,Johnny Long,
13,0,Harry Gonzalez,
13,0,Chris Evans,
13,0,Richard Bryant,
14,0,Billy Williams,
23,0,Albert Butler,
34,0,Gerald Coleman,
34,0,Carl Mitchell,
34,0,Howard Morris,
123,0,Jose Perry,
123,0,Jesse Gonzales,
123,0,Randy Wilson,3/7/10/
123,0,Carl Ramirez,
123,0,Keith Ross,
124,0,Steve Johnson,
134,0,Steve Martinez,
234,0,Kenneth Martin,
234,0,Justin Wood,
1234,0,James Watson,
1234,1,John Henderson,
1234,0,Craig Davis,
1234,0,Keith Hill,
1234,0,Wayne Long,
1234,0,Chris Clark,
